Level,Date and Time,Source,Event ID,Task Category
Information,16-02-2019 15:36:38,Microsoft-Windows-Sysmon,1,(1),"The description for Event ID 1 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:06:38.833
EV_RenderedValue_2.00
3820
C:\Windows\System32\taskhost.exe
6.1.7600.16385 (win7_rtm.090713-1255)
Host Process for Windows Tasks
Microsoft® Windows® Operating System
Microsoft Corporation
taskhost.exe $(Arg0)
C:\Windows\system32\
NT AUTHORITY\LOCAL SERVICE
EV_RenderedValue_12.00
997
0
System
SHA1=D37708435E6F6CF2FD69B791FA4BE3460329B47D
EV_RenderedValue_17.00
516
C:\Windows\System32\services.exe
C:\Windows\system32\services.exe

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:03,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:06:01.954
EV_RenderedValue_2.00
4
System
NT AUTHORITY\SYSTEM
tcp
False
False
127.0.0.1
PC01.example.corp
5357
wsd
False
127.0.0.1
PC01.example.corp
49189

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:03,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:06:01.954
EV_RenderedValue_2.00
952
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
tcp
True
False
127.0.0.1
PC01.example.corp
49189
False
127.0.0.1
PC01.example.corp
5357
wsd

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:02,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:06:01.480
EV_RenderedValue_2.00
1608
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
udp
True
False
127.0.0.1
PC01.example.corp
3702
ws-discovery
False
127.0.0.1
PC01.example.corp
61401

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:02,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:06:00.653
EV_RenderedValue_2.00
952
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
tcp
True
False
10.0.2.17
PC01.example.corp
49188
False
10.0.2.18
PC02
5357
wsd

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:00,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:59.522
EV_RenderedValue_2.00
1608
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
udp
False
True
ff02:0:0:0:0:0:0:c
3702
ws-discovery
True
0:0:0:0:0:0:0:1
PC01.example.corp
61402

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:00,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:59.522
EV_RenderedValue_2.00
952
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
udp
False
True
ff02:0:0:0:0:0:0:c
3702
ws-discovery
True
0:0:0:0:0:0:0:1
PC01.example.corp
61402

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:00,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:59.522
EV_RenderedValue_2.00
952
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
udp
False
True
ff02:0:0:0:0:0:0:c
3702
ws-discovery
True
fe80:0:0:0:80ac:4126:fa58:1b81
PC01.example.corp
61402

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:00,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:59.521
EV_RenderedValue_2.00
952
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
udp
False
False
239.255.255.250
3702
ws-discovery
False
127.0.0.1
PC01.example.corp
61401

The message resource is present but the message was not found in the message table
"
Information,16-02-2019 15:36:00,Microsoft-Windows-Sysmon,3,(3),"The description for Event ID 3 from source Microsoft-Windows-Sysmon cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

2019-02-16 10:05:59.521
EV_RenderedValue_2.00
1608
C:\Windows\System32\svchost.exe
NT AUTHORITY\LOCAL SERVICE
udp
False
False
239.255.255.250
3702
ws-discovery
False
127.0.0.1
PC01.example.corp
61401

The message resource is present but the message was not found in the message table
"
