remnux@remnux:~/Documents/CTF/yukthiCTF$ sudo python3 /opt/volatility/vol.py -f ~/Documents/CTF/yukthiCTF/RAM.vmem windows.filescan
Volatility 3 Framework 2.5.2
WARNING  volatility3.framework.layers.vmware: No metadata file found alongside VMEM file. A VMSS or VMSN file may be required to correctly process a VMEM file. These should be placed in the same directory with the same file name, e.g. RAM.vmem and RAM.vmss.
Progress:  100.00		PDB scanning finished                        
Offset	Name	Size

0x156bcb0	\Endpoint	112
0x156f100	\W32TIME	112
0x15a9a70	\{9B365890-165F-11D0-A195-0020AFD156E4}	112
0x15ac5c8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15ac6b0	\WINDOWS\Media\Windows XP Startup.wav	112
0x15ac8f0	\WINDOWS\WinSxS\x86_Microsoft.VC80.MFC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_3bf8fa05\mfc80u.dll	112
0x15ad318	\WINDOWS\system32\webcheck.dll	112
0x15ad740	\WINDOWS\system32\themeui.dll	112
0x15ad858	\Endpoint	112
0x15adb98	\WINDOWS\system32\ega.cpi	112
0x15ae208	\Program Files\Windows NT\Accessories	112
0x15ae3d0	\WINDOWS\system32\moricons.dll	112
0x15afbf0	\WINDOWS\Fonts\framdit.ttf	112
0x15afe08	\WINDOWS\system32	112
0x15b0128	\WINDOWS\system32	112
0x15b01d8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15b0af0	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15b0c10	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15b1028	\{9B365890-165F-11D0-A195-0020AFD156E4}	112
0x15b2380	\WINDOWS\system32\dllcache	112
0x15b2a38	\WINDOWS\SoftwareDistribution\ReportingEvents.log	112
0x15b2ad0	\Endpoint	112
0x15b30b8	\Documents and Settings\Administrator\My Documents\My Music\Desktop.ini	112
0x15b40b8	\WINDOWS\explorer.exe	112
0x15b41f0	\WINDOWS\system32\mui\0426	112
0x15b4318	\WINDOWS\system32\mui\0425	112
0x15b4f18	\Documents and Settings\Administrator\Local Settings\Application Data\IconCache.db	112
0x15b5028	\WINDOWS\system32\mui\0410	112
0x15b5118	\WINDOWS\system32\mui\0411	112
0x15b6318	\Program Files\xerox\nwwia	112
0x15b7028	\WINDOWS\system32\wscntfy.exe	112
0x15b8128	\WINDOWS\system32\mfc42ul.dll	112
0x15b9138	\WINDOWS\system32\mui\0414	112
0x15b9320	\{9B365890-165F-11D0-A195-0020AFD156E4}	112
0x15b95b8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15ba128	\TerminalServer\AutoReconnect	112
0x15ba418	\WINDOWS\inf	112
0x15ba4b0	\Program Files\Common Files\System\Ole DB	112
0x15baf90	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15bb6b8	\$Directory	112
0x15bb928	\WINDOWS\system32\batmeter.dll	112
0x15bc4b0	\WINDOWS\system32\config\SysEvent.Evt	112
0x15bdb68	\Program Files\Common Files\Microsoft Shared\web server extensions\40\admcgi\scripts	112
0x15bdf68	\Program Files\Common Files\Microsoft Shared\web server extensions\40\admisapi\scripts	112
0x15be028	\WINDOWS\system32\wpa.dbl	112
0x15be580	\Program Files\Common Files\SpeechEngines\Microsoft\Lexicon\1033	112
0x15bed60	\Program Files\Movie Maker	112
0x15bedf8	\WINDOWS\Resources\Themes\Luna	112
0x15bf028	\Endpoint	112
0x15bf228	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15bf348	\Documents and Settings\LocalService\ntuser.dat.LOG	112
0x15c06b0	\Program Files\Windows NT\Pinball	112
0x15c0a80	\WINDOWS\ime\shared\res	112
0x15c0b68	\WINDOWS\system32\npp	112
0x15c1028	\WINDOWS\WinSxS\x86_Microsoft.VC80.MFC_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_3bf8fa05	112
0x15c1280	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15c1910	\WINDOWS\Help\Tours\mmTour	112
0x15c19d0	\WINDOWS\system32\IME\TINTLGNT	112
0x15c3128	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x15c3838	\WINDOWS\Resources\Themes\Luna\luna.msstyles	112
0x15c5eb8	\WINDOWS\Prefetch\SC.EXE-012262AF.pf	112
0x15c5f90	\WINDOWS\system32\actxprxy.dll	112
0x15c6ac8	\WINDOWS\system32	112
0x15c8140	\WINDOWS\system32\mui\041f	112
0x15c8d40	\$Directory	112
0x15cb638	\lsass	112
0x15cbc00	\Endpoint	112
0x15cbcb8	\$Directory	112
0x15cbdc8	\lsass	112
0x15cbe80	\WINDOWS\system32\dpcdll.dll	112
0x15ccdb8	\WINDOWS\system32\inetpp.dll	112
0x15ccee0	\{9B365890-165F-11D0-A195-0020AFD156E4}	112
0x15cd628	\WINDOWS\ime\CHTIME\Applets	112
0x15cef60	\WINDOWS\Temp\Perflib_Perfdata_5a4.dat	112
0x15d0318	\$Directory	112
0x15d1268	\WINDOWS\system32\config\default.LOG	112
0x15d1910	\WINDOWS\system32\mui\0402	112
0x15d19f8	\WINDOWS\system32\mui\0C0A	112
0x167f4b0	\WINDOWS\system32\imagehlp.dll	112
0x167f8d8	\WINDOWS\system32\kernel32.dll	112
0x1681810	\Endpoint	112
0x1681b68	\WINDOWS\system32\odbc32.dll	112
0x1681eb8	\WINDOWS\system32\ncobjapi.dll	112
0x1683dd0	\$Directory	112
0x16842c0	\WINDOWS\WindowsUpdate.log	112
0x1684358	\WINDOWS\WindowsUpdate.log	112
0x16843f0	\WINDOWS\WindowsUpdate.log	112
0x1684488	\WINDOWS\WindowsUpdate.log	112
0x1685028	\PROGRA~1\MSNGAM~1\Windows\bckgres.dll	112
0x16862c0	\WINDOWS\system32\seclogon.dll	112
0x1686430	\WINDOWS\system32\regsvc.dll	112
0x16865c0	\WINDOWS\system32\imapi.exe	112
0x16866c0	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\Unity Filters\vmwarefilters.txt	112
0x1687238	\WINDOWS\system32\mswsock.dll	112
0x16874a0	\WINDOWS\system32\wmi.dll	112
0x1688158	\WINDOWS\system32\webcheck.dll	112
0x16883b0	\WINDOWS\system32\imapi.exe	112
0x1688538	\Documents and Settings\LocalService\Local Settings\desktop.ini	112
0x1688908	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1688a50	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1688ae8	\lsarpc	112
0x1688c60	\SfcApi	112
0x168a428	\$Directory	112
0x168a4c0	\WINDOWS\system32\wbem\Repository\FS\OBJECTS.DATA	112
0x168a6b8	\WINDOWS\system32\wbem\Repository\FS\MAPPING1.MAP	112
0x168a8b0	\WINDOWS\system32\wbem\repdrvfs.dll	112
0x168aa68	\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.2600.2180_x-ww_522f9f82.Manifest	112
0x168abd0	\WINDOWS\system32\wbem\wmiutils.dll	112
0x168ada0	\WINDOWS\system32\wbem\wbemsvc.dll	112
0x168af90	\WINDOWS\system32\wbem\fastprox.dll	112
0x168b260	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700	112
0x168b590	\$Directory	112
0x168b628	\Program Files\VMware\VMware Tools\vmacthlp.txt	112
0x168b820	\Program Files\VMware\VMware Tools\vmacthlp.exe	112
0x168bb80	\WINDOWS\system32\scecli.dll	112
0x168bda8	\WINDOWS\system32\wtsapi32.dll	112
0x168bf90	\WINDOWS\system32\winscard.dll	112
0x168c480	\WINDOWS\system32\FNTCACHE.DAT	112
0x168c730	\WINDOWS\system32\mshearts.exe	112
0x168cac0	\Documents and Settings\All Users\Start Menu\Programs\Accessories\System Tools\desktop.ini	112
0x168cb68	\WINDOWS\system32\olecli32.dll	112
0x16c8368	\WINDOWS\system32\authz.dll	112
0x16c9da0	\WINDOWS\system32\wzcsvc.dll	112
0x16c9f18	\lsarpc	112
0x16cbf68	\PROGRA~1\MSNGAM~1\Windows\chkrres.dll	112
0x16ccdb0	\WINDOWS\system32\advapi32.dll	112
0x16ccf90	\WINDOWS\system32\spool\prtprocs\w32x86\TPWinPrn.dll	112
0x16cd368	\Program Files\VMware\VMware Tools\vmacthlp.exe	112
0x16cd4d0	\WINDOWS\system32\browser.dll	112
0x16cd5d0	\WINDOWS\system32\smss.exe	112
0x16cd738	\WINDOWS\system32\mspatcha.dll	112
0x16cd958	\WINDOWS\system32\cabinet.dll	112
0x16cdb78	\WINDOWS\system32\winhttp.dll	112
0x16cde98	\WINDOWS\system32\advpack.dll	112
0x16ce2b8	\WINDOWS\system32\kerberos.dll	112
0x16ce488	\WINDOWS\system32\msprivs.dll	112
0x16ce658	\WINDOWS\system32\WindowsLogon.manifest	112
0x16ce988	\$Directory	112
0x16cea20	\protected_storage	112
0x16cec18	\WINDOWS\system32\schannel.dll	112
0x16cee40	\WINDOWS\system32\ntdsapi.dll	112
0x16cf528	\WINDOWS\system32\olecnv32.dll	112
0x16d0680	\WINDOWS\system32\drivers\vmxnet.sys	112
0x16d0a58	\WINDOWS\system32\user32.dll	112
0x16d1310	\Documents and Settings\Administrator\Cookies\index.dat	112
0x16d14b8	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700	112
0x16d1bd8	\WINDOWS\system32\olecnv32.dll	112
0x178ee28	\Winsock2\CatalogChangeListener-3c4-0	112
0x1794028	\WINDOWS\WindowsUpdate.log	112
0x17943b0	\WINDOWS\WindowsUpdate.log	112
0x1794448	\WINDOWS\WindowsUpdate.log	112
0x17944e0	\WINDOWS\WindowsUpdate.log	112
0x1794578	\WINDOWS\WindowsUpdate.log	112
0x1794610	\WINDOWS\WindowsUpdate.log	112
0x17946a8	\WINDOWS\WindowsUpdate.log	112
0x1794740	\WINDOWS\WindowsUpdate.log	112
0x17947d8	\WINDOWS\WindowsUpdate.log	112
0x1794870	\WINDOWS\WindowsUpdate.log	112
0x1794908	\WINDOWS\WindowsUpdate.log	112
0x17949a0	\WINDOWS\WindowsUpdate.log	112
0x1794a38	\WINDOWS\WindowsUpdate.log	112
0x1794ad0	\WINDOWS\WindowsUpdate.log	112
0x1794b68	\WINDOWS\WindowsUpdate.log	112
0x1794c00	\WINDOWS\WindowsUpdate.log	112
0x1794c98	\WINDOWS\WindowsUpdate.log	112
0x1794d30	\WINDOWS\WindowsUpdate.log	112
0x1794dc8	\WINDOWS\WindowsUpdate.log	112
0x1794e60	\WINDOWS\WindowsUpdate.log	112
0x1794ef8	\WINDOWS\WindowsUpdate.log	112
0x1794f90	\WINDOWS\WindowsUpdate.log	112
0x1795310	\srvsvc	112
0x17953a8	\srvsvc	112
0x17959b8	\net\NtControlPipe9	112
0x1795e98	\Program Files\VMware\VMware Tools\VMwareTray.exe	112
0x17962b8	\$Directory	112
0x1796678	\browser	112
0x1796da0	\WINDOWS\Fonts\framd.ttf	112
0x1796e40	\Documents and Settings\All Users\Start Menu	112
0x1796f90	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x17975c8	\browser	112
0x1797668	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1797700	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700	112
0x17977c8	\Program Files\VMware\VMware Tools\VMwareUser.exe	112
0x17b2570	\WINDOWS\system32\compatUI.dll	112
0x17b28f0	\WINDOWS\system32\msacm32.drv	112
0x17b38d8	\net\NtControlPipe1	112
